patologia_origen,cie_origen,patologia_diferencial,cie_diferencial,hoja_fuente,motivo,sistema_diferencial
Infección por HHV-6 (Roseola),,Mononucleosis Infecciosa (EBV),B27.0,Infección por HHV-6 (Roseola) B,,
Infección por HHV-6 (Roseola),,Infección por HHV-7,B08.2,Infección por HHV-6 (Roseola) B,,
Infección por HHV-6 (Roseola),,Sarampión,B05.9,Infección por HHV-6 (Roseola) B,,
Infección por HHV-6 (Roseola),,Rubeola,B06.9,Infección por HHV-6 (Roseola) B,,
Infección por HHV-6 (Roseola),,Eritema Infeccioso (Quinta Enfermedad),B08.3,Infección por HHV-6 (Roseola) B,,
Infección por HHV-6 (Roseola),,Escarlatina,A38,Infección por HHV-6 (Roseola) B,,
Infección por HHV-6 (Roseola),,Exantema Medicamentoso,L27.0,Infección por HHV-6 (Roseola) B,,
Hepatitis Viral,B15-B19,Hepatitis B (Aguda / Crónica),B16 / B18.1,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Hepatitis C (Aguda / Crónica),B17.1 / B18.2,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Hepatitis A,B15,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Hepatitis E,B17.2,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Hepatitis D (Delta),B17.8,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Enfermedad Hepática Alcohólica,K70,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Hepatitis Autoinmune,K75.4,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Esteatosis Hepática / Esteatohepatitis,K76.0,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Cirrosis Hepática,K74.6,Hepatitis Viral B15-B19,,
Hepatitis Viral,B15-B19,Carcinoma Hepatocelular (HCC),C22.0,Hepatitis Viral B15-B19,,
